ADgroup,category,Lic_type,PSgroup,RESgroup,Description,Comments,Activity,category1,userclaim,SNOW-title,SNOW-Description
dlg.WW.ADM-Services.P2V.ECO.key,not in use,,,,P2V Economics Key User,,,,,,
dlg.WW.ADM-Services.P2V.ECO.power,not in use,,,,P2V Economics Power User,,,,,,
dlg.WW.ADM-Services.P2V.ECO.regimes,SPECIAL,,A14.profile.Economics.Regimes,,P2V Economics Regimes,Economics Regime Coding (r/w access),,,,Economics Regimes,Read/write access to Economics regimes library
dlg.WW.ADM-Services.P2V.ECO.unlock,SPECIAL,,Economics.unlock,,P2V Economics Unlock,permission to unlock  objects in ECONOMICS module,,,,,
dlg.WW.ADM-Services.P2V.EX.key,not in use,,,,P2V Exploration Key User,,,,,,
dlg.WW.ADM-Services.P2V.FIN.regimes,SPECIAL,,A17.profile.Finance.Regimes,,P2V Finance Regimes,Financials Regime Coding (r/w access),,,,Finance Regimes,read/write access to PS Financials regime library
dlg.WW.ADM-Services.P2V.FIN.unlock,SPECIAL,,Financials.unlock,,P2V Financials Unlock,permission to unlock  objects in FINANCIALS module,,,,,
dlg.WW.ADM-Services.P2V.Interfaces,??,,,,P2V Interface User,,,,,,
dlg.WW.ADM-Services.P2V.PP.power,??,,,,P2V Planning & Portfolio Power User,,,,,,
dlg.WW.ADM-Services.P2V.profile.Admin.Headoffice,not in use,,,,P2V Headoffice Administrator,,,,,,
dlg.WW.ADM-Services.P2V.profile.CAPDAT,PROFILE,,A03.profile.CAPDAT,,P2V CAPDAT User,Profile for CAPDAT interface users.,,,,CAPDAT,rights for CAPDAT users to connect to Plan2Value
dlg.WW.ADM-Services.P2V.profile.Economics.Classic,PROFILE,,A13.profile.Economics.Classic,,P2V Economics Classic,Base Economist (includes DF Unlock and Quicklook Admin),,,,Economics Classic,Base Economist profile
dlg.WW.ADM-Services.P2V.profile.Economics.Plus,PROFILE,,A15.profile.Economics.Plus,,P2V Economics Plus,Base Economist enhanced with PSE Power and PSE Unlock roles,,,,Economics Plus,Base Economist enhanced with PS Economics Power and PS Economics Unlock roles
dlg.WW.ADM-Services.P2V.profile.Exploration.Assurance,PROFILE,,A24.profile.Exploration.Assurance,,P2V Exploration Assurance,OMV Corporate Exploration Assurance user.  Previously profile.Resources.Headoffice,,,,Exploration Assurance,profile for Exploration Assurance team
dlg.WW.ADM-Services.P2V.profile.Exploration.OAAdmin,PROFILE,,A25.profile.Exploration.OA.Admin,,P2V Exploration OA Admin,extended rights for Exploration Opportunity Assessor Admins,,,,Exploration Opportunity Assessor Admin,extended rights for Exploration Opportunity Assessor Admins
dlg.WW.ADM-Services.P2V.profile.Finance.Classic,PROFILE,,A16.profile.Finance.Classic,,P2V Finance Classic,Base Controller,,,,Finance Classic,Base Controller profile
dlg.WW.ADM-Services.P2V.profile.Finance.Plus,PROFILE,,A18.profile.Finance.Plus,,P2V Finance Plus,OMV Corporate controller role,,,,Finance Plus,Base Controller enhanced with PSF Power and PSF Unlock roles
dlg.WW.ADM-Services.P2V.profile.LightUser,PROFILE,,A04.profile.Light,,P2V Light User,Readonly access DF only (light user),,,,Light (Readonly) User,Readonly access DF only (light user)
dlg.WW.ADM-Services.P2V.profile.LightUser.FinPort,PROFILE,,A06.profile.Light.Fin.Port,,P2V Finance and Portfolio Light User,,,,,Finance / Portfolio Light user,Finance and Portfolio light users (readonly access) DataFlow plus PS Economics/ PS Financials /PS Portfolio
dlg.WW.ADM-Services.P2V.profile.LightUser.local,not in use,,,,P2V Local Readonly User,,,,,,
dlg.WW.ADM-Services.P2V.profile.LightUser.Reserves,PROFILE,,A05.profile.Light.reserves,,P2V Reserves Light User,Reserves readonly role,,,,Light (Readonly) Reserves User,Reserves readonly role
dlg.WW.ADM-Services.P2V.profile.Planning.Classic,PROFILE,,A10.profile.Planning.Classic,,P2V Planning Classic,Planner (includes DF Unlock),,,,Planning Classic,P2V Base Planner profile (includes DataFlow Unlock)
dlg.WW.ADM-Services.P2V.profile.Planning.Plus,PROFILE,,A11.profile.Planning.Plus,,P2V Planning Plus,Enhanced Dataflow: (includes DF Power role; DF Tab FULL access),,,,Planning Plus,Planner profile with extended rights in DataFlow
dlg.WW.ADM-Services.P2V.profile.Portfolio.Classic,PROFILE,,A19.profile.Portfolio.Classic,,P2V Portfolio Classic,OMV Portfolio role (standard user),,,,Portfolio Classic,Base Portfolio user profile
dlg.WW.ADM-Services.P2V.profile.Portfolio.Plus,PROFILE,,A26.profile.Portfolio.Plus,,P2V Portfolio Plus,OMV Corporate Planning & Portfolio role (power user),,,,Portfolio Plus,extended rights for Portfolio power users
dlg.WW.ADM-Services.P2V.profile.Projectmanager.Classic,PROFILE,,A08.profile.Projectmanager.Classic,,P2V Projectmanager Classic,"P2V Classic Projectmanager role (data entry & ""full input"" tagging)",,,,Projectmanager Classic,"P2V Classic Projectmanager role (data entry & ""full input"" tagging)"
dlg.WW.ADM-Services.P2V.profile.Projectmanager.LCB,PROFILE,,A09.profile.Projectmanager.LCB,,P2V Projectmanager LCB,Classic Project Manager for LCB,,,,Projectmanager (LCB),specific profile for LCB projectmanagers
dlg.WW.ADM-Services.P2V.profile.Projectmanager.PET,PROFILE,,A07.profile.Projectmanager.PET,,P2V Projectmanager Petrom,P2V Projectmanager role (data entry - specific for Petrom),,,,Projectmanager (Petrom),specific profile for Petrom projectmanagers
