Iteration,Timestamp,Path,ShareRelativePath,ClientComputerName,ClientUserName,ContinuouslyAvailable,Locks
155,2023-07-03 13:02:13,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
156,2023-07-03 13:02:14,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
157,2023-07-03 13:02:15,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
158,2023-07-03 13:02:16,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
159,2023-07-03 13:02:17,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
160,2023-07-03 13:02:18,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
161,2023-07-03 13:02:19,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
162,2023-07-03 13:02:20,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
163,2023-07-03 13:02:21,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
164,2023-07-03 13:02:22,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
165,2023-07-03 13:02:23,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
166,2023-07-03 13:02:24,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
167,2023-07-03 13:02:25,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
168,2023-07-03 13:02:26,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
169,2023-07-03 13:02:27,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
170,2023-07-03 13:02:28,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
171,2023-07-03 13:02:29,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
172,2023-07-03 13:02:30,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
173,2023-07-03 13:02:31,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
174,2023-07-03 13:02:32,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
175,2023-07-03 13:02:33,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
176,2023-07-03 13:02:34,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
177,2023-07-03 13:02:35,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
178,2023-07-03 13:02:36,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
179,2023-07-03 13:02:37,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
