Id,Name,Description,Comments
46,data.Norway.Planning,Data access to country Norway (planner),[DATA] PRMS full access
446,data.Norway.PRMS,Data access to country Norway (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
208,data.Norway.Reserves,Data access to country Norway (Reserves),[DATA] PRMS create-read-update-delete 
193,data.OMVEP,Data access to ValueCenters,[DATA] PRMS read-update
347,data.OMVEP.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
194,data.OMVEP.Economics,Data access to ValueCenters (economist),[DATA] PRMS create-read-update-delete 
195,data.OMVEP.Finance,Data access to ValueCenters (financials),[DATA] PRMS create-read-update-delete 
437,data.OMVEP.LCB,Data access to ValueCenters (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
362,data.OMVEP.Other,Data access to ValueCenters (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
192,data.OMVEP.Planning,Data access to ValueCenters (full access),[DATA] PRMS full access
457,data.OMVEP.PRMS,Data access to ValueCenters (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
219,data.OMVEP.Reserves,Data access to ValueCenters (Reserves),[DATA] PRMS create-read-update-delete 
243,data.proj.Neptun.allow,Neptun project not confidential anymore,Neptun - not confidential anymore
234,data.proj.Neptun.deny,Neptun - not confidential anymore - group should be empty,Neptun - not confidential anymore - group should be empty
123,data.Romania,Data access to country Romania,[DATA] PRMS read-update
366,data.Romania.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
111,data.Romania.Economics,Data access to country Romania (economist),[DATA] PRMS create-read-update-delete 
160,data.Romania.Finance,Data access to country Romania (financials),[DATA] PRMS create-read-update-delete 
448,data.Romania.LCB,Data access to country Romania (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
306,data.Romania.Other,Data access to country Romania (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
170,data.Romania.Planning,Data access to country Romania (full access),[DATA] PRMS full access
255,data.Romania.Portfolio,Data access to country Romania (Portfolio),
438,data.Romania.PRMS,Data access to country Romania (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
216,data.Romania.Reserves,Data access to country Romania (Reserves),[DATA] PRMS create-read-update-delete 
11,data.Russia,Data access to country Russia,[DATA] PRMS read-update
337,data.Russia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
92,data.Russia.Economics,Data access to country Russia (economist),[DATA] PRMS create-read-update-delete 
99,data.Russia.Finance,Data access to country Russia (financials),[DATA] PRMS create-read-update-delete 
435,data.Russia.LCB,Data access to country Russia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
330,data.Russia.Other,Data access to country Russia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
47,data.Russia.Planning,Data access to country Russia (full access),[DATA] PRMS full access
433,data.Russia.PRMS,Data access to country Russia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
214,data.Russia.Reserves,Data access to country Russia (Reserves),[DATA] PRMS create-read-update-delete 
182,data.Sapura.Australia,Data access to country  Sapura- Australia,[DATA] PRMS read-update
327,data.Sapura.Australia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
178,data.Sapura.Australia.Economics,Data access to country  Sapura- Australia (economist),[DATA] PRMS create-read-update-delete 
190,data.Sapura.Australia.Finance,Data access to country  Sapura- Australia (financials),[DATA] PRMS create-read-update-delete 
461,data.Sapura.Australia.LCB,Data access to country  Sapura- Australia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
348,data.Sapura.Australia.Other,Data access to country  Sapura- Australia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
189,data.Sapura.Australia.Planning,Data access to country  Sapura- Australia (full access),[DATA] PRMS full access
441,data.Sapura.Australia.PRMS,Data access to country  Sapura- Australia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
224,data.Sapura.Australia.Reserves,Data access to country  Sapura- Australia (Reserves),[DATA] PRMS create-read-update-delete 
184,data.Sapura.NewZealand,Data access to country  Sapura- NewZealand,[DATA] PRMS read-update
311,data.Sapura.NewZealand.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
185,data.Sapura.NewZealand.Economics,Data access to country  Sapura- NewZealand (economist),[DATA] PRMS create-read-update-delete 
186,data.Sapura.NewZealand.Finance,Data access to country  Sapura- NewZealand (financials),[DATA] PRMS create-read-update-delete 
476,data.Sapura.NewZealand.LCB,Data access to country  Sapura- NewZealand (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
308,data.Sapura.NewZealand.Other,Data access to country  Sapura- NewZealand (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
181,data.Sapura.NewZealand.Planning,Data access to country  Sapura- NewZealand (full access),[DATA] PRMS full access
445,data.Sapura.NewZealand.PRMS,Data access to country  Sapura- NewZealand (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
210,data.Sapura.NewZealand.Reserves,Data access to country  Sapura- NewZealand (Reserves),[DATA] PRMS create-read-update-delete 
416,data.Switzerland,Data access to country Switzerland,[DATA] PRMS read-update
421,data.Switzerland.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
406,data.Switzerland.Economics,Data access to country Switzerland (economist),[DATA] PRMS create-read-update-delete 
412,data.Switzerland.Finance,Data access to country Switzerland (financials),[DATA] PRMS create-read-update-delete 
475,data.Switzerland.LCB,Data access to country Switzerland (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
410,data.Switzerland.Other,Data access to country Switzerland (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
396,data.Switzerland.Planning,Data access to country Switzerland (full access),[DATA] PRMS full access
426,data.Switzerland.Portfolio,Data access to country Switzerland (Portfolio),
473,data.Switzerland.PRMS,Data access to country Switzerland (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
427,data.Switzerland.Reserves,Data access to country Switzerland (Reserves),[DATA] PRMS create-read-update-delete 
61,data.Tunisia,Data access to country Tunisia,[DATA] PRMS read-update
364,data.Tunisia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
93,data.Tunisia.Economics,Data access to country Tunisia (economist),[DATA] PRMS create-read-update-delete 
97,data.Tunisia.Finance,Data access to country Tunisia (financials),[DATA] PRMS create-read-update-delete 
463,data.Tunisia.LCB,Data access to country Tunisia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
302,data.Tunisia.Other,Data access to country Tunisia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
62,data.Tunisia.Planning,Data access to country Tunisia (full access),[DATA] PRMS full access
459,data.Tunisia.PRMS,Data access to country Tunisia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
209,data.Tunisia.Reserves,Data access to country Tunisia (Reserves),[DATA] PRMS create-read-update-delete 
148,data.Yemen,Data access to country Yemen,[DATA] PRMS read-update
