displayprofile,profile,groups,Ptype,type,lic
profile.PP.Headoffice,profile.PP.Headoffice,Reserves.base,[Profile],Reserves,
profile.PP.Headoffice,profile.PP.Headoffice,Economics.key,[Profile],Economics,
profile.PP.Headoffice,profile.PP.Headoffice,license.heavy,[Profile],License,
profile.PP.Headoffice,profile.PP.Headoffice,temp.adjust.admin.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.adjust.eco.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.adjust.fin.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.adjust.input.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.economics.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.financials.readonly,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,temp.input,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.admin,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,[Profile],PROFILE,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,P2V.base,[Profile],General,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,Reporting,[Profile],API,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,DataFlow.key,[Profile],DataFlow,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,DataFlow.power,[Profile],DataFlow,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,Economics.key,[Profile],Economics,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,Portfolio,[Profile],Portfolio,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,Reserves.base,[Profile],Reserves,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,license.heavy,[Profile],License,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.adjust.admin,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.adjust.eco.readonly,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.adjust.fin.readonly,[Profile],Template,
